[283, 736, 11, 17, 'note', 'A', 0.913]
[325, 807, 11, 17, 'note', 'A', 0.913]
[156, 243, 11, 17, 'note', 'A', 0.913]
[105, 220, 11, 17, 'note', 'A', 0.913]
[358, 393, 11, 17, 'note', 'A', 0.913]
[332, 475, 11, 17, 'note', 'A', 0.913]
[108, 237, 11, 17, 'note', 'A', 0.913]
[346, 302, 11, 17, 'note', 'A', 0.913]
[298, 397, 11, 17, 'note', 'A', 0.913]
[87, 400, 11, 17, 'note', 'A', 0.913]
[330, 1424, 11, 17, 'note', 'A', 0.913]
[352, 1651, 11, 17, 'note', 'A', 0.913]
[118, 1721, 11, 17, 'note', 'A', 0.913]
[358, 290, 11, 17, 'note', 'A', 0.913]
[304, 816, 11, 17, 'note', 'A', 0.913]
[117, 59, 11, 17, 'note', 'A', 0.913]
[299, 1102, 11, 17, 'note', 'A', 0.913]
[153, 1056, 11, 17, 'note', 'A', 0.913]
[258, 3, 11, 17, 'note', 'A', 0.913]
[300, 1769, 11, 17, 'note', 'A', 0.913]
[174, 767, 11, 17, 'note', 'A', 0.913]
[87, 296, 11, 17, 'note', 'A', 0.913]
[107, 236, 11, 17, 'note', 'A', 0.913]
[120, 1477, 11, 17, 'note', 'A', 0.913]
[181, 1163, 11, 17, 'note', 'A', 0.913]
[281, 817, 11, 17, 'note', 'A', 0.913]
[65, 50, 11, 17, 'note', 'A', 0.913]
[152, 347, 11, 17, 'note', 'A', 0.913]
[156, 1731, 11, 17, 'note', 'A', 0.913]
[352, 1588, 11, 17, 'note', 'A', 0.913]
[116, 1043, 11, 17, 'note', 'A', 0.913]
[93, 440, 11, 17, 'note', 'A', 0.913]
[212, 629, 11, 17, 'note', 'A', 0.913]
[283, 812, 11, 17, 'note', 'A', 0.913]
[151, 248, 11, 17, 'note', 'A', 0.913]
[150, 1163, 11, 17, 'note', 'A', 0.913]
[110, 1047, 11, 17, 'note', 'A', 0.913]
[114, 1722, 11, 17, 'note', 'A', 0.913]
[326, 806, 11, 17, 'note', 'A', 0.913]
[313, 1330, 11, 17, 'note', 'A', 0.913]
[101, 246, 11, 17, 'note', 'A', 0.913]
[101, 349, 11, 17, 'note', 'A', 0.913]
[148, 1553, 11, 17, 'note', 'A', 0.913]
[118, 1720, 11, 17, 'note', 'A', 0.913]
[89, 478, 11, 17, 'note', 'A', 0.913]
[146, 1275, 11, 17, 'note', 'A', 0.913]
[330, 481, 11, 17, 'note', 'A', 0.913]
[154, 1054, 11, 17, 'note', 'A', 0.913]
[283, 995, 11, 17, 'note', 'A', 0.913]
[134, 867, 11, 17, 'note', 'A', 0.913]
[168, 1643, 11, 17, 'note', 'A', 0.913]
[249, 5, 11, 17, 'note', 'A', 0.913]
[326, 1299, 11, 17, 'note', 'A', 0.913]
[90, 392, 11, 17, 'note', 'A', 0.913]
