[1776, 1765, 11, 17, 'note', 'A', 0.91]
[481, 1265, 11, 17, 'note', 'A', 0.91]
[1452, 92, 11, 17, 'note', 'A', 0.91]
[1894, 1719, 11, 17, 'note', 'A', 0.91]
[1023, 46, 11, 17, 'note', 'A', 0.91]
[481, 1349, 11, 17, 'note', 'A', 0.91]
[1894, 1718, 11, 17, 'note', 'A', 0.91]
[1922, 283, 11, 17, 'note', 'A', 0.91]
[2430, 308, 11, 17, 'note', 'A', 0.91]
[475, 800, 11, 17, 'note', 'A', 0.91]
[1041, 1423, 11, 17, 'note', 'A', 0.91]
[1225, 1616, 11, 17, 'note', 'A', 0.91]
[1270, 490, 11, 17, 'note', 'A', 0.91]
[1782, 1467, 11, 17, 'note', 'A', 0.91]
[2382, 403, 11, 17, 'note', 'A', 0.91]
[1699, 59, 11, 17, 'note', 'A', 0.91]
[2171, 406, 11, 17, 'note', 'A', 0.91]
[1476, 289, 11, 17, 'note', 'A', 0.91]
[2414, 1430, 11, 17, 'note', 'A', 0.91]
[976, 187, 11, 17, 'note', 'A', 0.91]
[2436, 1657, 11, 17, 'note', 'A', 0.91]
[863, 1323, 11, 17, 'note', 'A', 0.91]
[1442, 1792, 11, 17, 'note', 'A', 0.91]
[1257, 1607, 11, 17, 'note', 'A', 0.91]
[486, 1531, 11, 17, 'note', 'A', 0.91]
[881, 1564, 11, 17, 'note', 'A', 0.91]
[1299, 1393, 11, 17, 'note', 'A', 0.91]
[404, 1703, 11, 17, 'note', 'A', 0.91]
[479, 703, 11, 17, 'note', 'A', 0.91]
[1225, 1615, 11, 17, 'note', 'A', 0.91]
[1299, 666, 11, 17, 'note', 'A', 0.91]
[890, 1321, 11, 17, 'note', 'A', 0.91]
[616, 1213, 11, 17, 'note', 'A', 0.91]
[1255, 1511, 11, 17, 'note', 'A', 0.91]
[531, 600, 11, 17, 'note', 'A', 0.91]
[874, 480, 11, 17, 'note', 'A', 0.91]
[1289, 1794, 11, 17, 'note', 'A', 0.91]
[533, 884, 11, 17, 'note', 'A', 0.91]
[1809, 1764, 11, 17, 'note', 'A', 0.91]
[493, 1056, 11, 17, 'note', 'A', 0.91]
[1074, 844, 11, 17, 'note', 'A', 0.91]
[65, 1256, 11, 17, 'note', 'A', 0.91]
[1908, 1342, 11, 17, 'note', 'A', 0.91]
[724, 1708, 11, 17, 'note', 'A', 0.91]
[532, 600, 11, 17, 'note', 'A', 0.91]
[845, 545, 11, 17, 'note', 'A', 0.91]
[669, 1703, 11, 17, 'note', 'A', 0.91]
[1451, 93, 11, 17, 'note', 'A', 0.91]
[631, 567, 11, 17, 'note', 'A', 0.91]
[1475, 176, 11, 17, 'note', 'A', 0.91]
[1723, 1251, 11, 17, 'note', 'A', 0.91]
[736, 1740, 11, 17, 'note', 'A', 0.91]
[2202, 1727, 11, 17, 'note', 'A', 0.91]
[694, 1380, 11, 17, 'note', 'A', 0.91]
[464, 194, 11, 17, 'note', 'A', 0.91]
[1791, 544, 11, 17, 'note', 'A', 0.91]
[458, 697, 11, 17, 'note', 'A', 0.91]
[632, 1060, 11, 17, 'note', 'A', 0.91]
[2442, 296, 11, 17, 'note', 'A', 0.91]
[578, 159, 11, 17, 'note', 'A', 0.91]
[885, 65, 11, 17, 'note', 'A', 0.91]
[505, 1255, 11, 17, 'note', 'A', 0.91]
[494, 612, 11, 17, 'note', 'A', 0.91]
[2388, 822, 11, 17, 'note', 'A', 0.91]
[45, 1528, 11, 17, 'note', 'A', 0.91]
[491, 1178, 11, 17, 'note', 'A', 0.91]
[1738, 1339, 11, 17, 'note', 'A', 0.91]
[468, 811, 11, 17, 'note', 'A', 0.91]
[642, 1127, 11, 17, 'note', 'A', 0.91]
[908, 472, 11, 17, 'note', 'A', 0.91]
[1517, 621, 11, 17, 'note', 'A', 0.91]
[2201, 65, 11, 17, 'note', 'A', 0.91]
[400, 1555, 11, 17, 'note', 'A', 0.91]
[2383, 1108, 11, 17, 'note', 'A', 0.91]
[445, 896, 11, 17, 'note', 'A', 0.91]
[1509, 534, 11, 17, 'note', 'A', 0.91]
[349, 688, 11, 17, 'note', 'A', 0.91]
[480, 1425, 11, 17, 'note', 'A', 0.91]
[2237, 1062, 11, 17, 'note', 'A', 0.91]
[312, 415, 11, 17, 'note', 'A', 0.91]
[627, 209, 11, 17, 'note', 'A', 0.91]
[2342, 9, 11, 17, 'note', 'A', 0.91]
[1784, 1252, 11, 17, 'note', 'A', 0.91]
[1314, 1027, 11, 17, 'note', 'A', 0.91]
[1473, 1452, 11, 17, 'note', 'A', 0.91]
[1729, 1772, 11, 17, 'note', 'A', 0.91]
[2384, 1775, 11, 17, 'note', 'A', 0.91]
[1746, 815, 11, 17, 'note', 'A', 0.91]
[675, 1738, 11, 17, 'note', 'A', 0.91]
[2258, 773, 11, 17, 'note', 'A', 0.91]
[2171, 302, 11, 17, 'note', 'A', 0.91]
[1088, 899, 11, 17, 'note', 'A', 0.91]
[622, 1298, 11, 17, 'note', 'A', 0.91]
[653, 839, 11, 17, 'note', 'A', 0.91]
